Table名稱,市場,面向,類別,樣本
臺幣通貨匯率表,台灣,基本面,基本資料,匯率
債券等殖成交行情表,台灣,籌碼面,交易,債券
日債券殖利率與百元價格表(公平價格),台灣,籌碼面,交易,債券
券商分點損益分析,台灣,籌碼面,"券商, 損益",上市櫃股票
港股股利政策表(派股),香港,基本面,股利,上市櫃股票
興櫃日市況分析表(個股),台灣,籌碼面,交易,興櫃股票
中華信評信用評等,台灣,基本面,機構評等,信評
外國債券基本資料表,台灣,基本面,基本資料,債券
高層人事異動明細,台灣,基本面,股權結構,上市櫃股票
TDR股利政策表,台灣,基本面,股利,TDR
港股基金日收盤表,香港,籌碼面,"交易, 價量",基金
重要總體經濟數據基本資料表,台灣,基本面,基本資料,總經
美股季財報(損益單季),美國,基本面,"財報, 損益",上市櫃股票
季IFRS財報銀行業(總表),台灣,基本面,"財報, 總表, 銀行",金融業股票
期信基金規模與市佔率,台灣,基本面,基本資料,期信基金
股東會會後記錄,台灣,基本面,股東,上市櫃股票
投信基金投資債券比率,台灣,籌碼面,交易,投信基金
美股週收盤還原表排行,美國,籌碼面,"交易, 價量",上市櫃股票
興櫃季IFRS財報(現金流量單季),台灣,基本面,"財報, 現金流量",興櫃股票
日借貸款項擔保品餘額表,台灣,籌碼面,"交易, 借貸, 擔保",上市櫃股票
債券處所成交行情表,台灣,籌碼面,交易,債券
競價拍賣公告,台灣,基本面,"交易, 競拍",上市櫃股票
轉投資異動,台灣,基本面,"交易, 轉投資",上市櫃股票
三大法人買賣轉交換債明細,台灣,籌碼面,三大法人,債券
興櫃券商分點進出個股明細彙總,台灣,籌碼面,券商,興櫃股票
主力進出統計,,,,
債券附條件交易行情表(處所成交),台灣,籌碼面,交易,債券
可轉公司債附條件交易行情表,台灣,籌碼面,交易,債券
銀行分公司基本資料,台灣,基本面,基本資料,金融業股票
日常用技術指標表_產業相對價格,台灣,技術面,"交易, 指標",上市櫃股票
興櫃公開申購公告,台灣,基本面,公告事件,興櫃股票
月董監籌碼速選,台灣,籌碼面,"交易, 董監",上市櫃股票
日最大量成交價量表,台灣,籌碼面,"交易, 價量",上市櫃股票
陸股基金基本資料表,中國,基本面,基本資料,基金
年度董事及監察人酬金表,台灣,基本面,"股權結構, 董監, 酬金",上市櫃股票
可轉公司債月集保庫存異動統計表,台灣,籌碼面,股權結構,債券
興櫃注意股票,台灣,籌碼面,公告事件,興櫃股票
興櫃月財務警示指標,台灣,基本面,"財報, 警示",興櫃股票
台灣金融統計數據,台灣,基本面,"統計數據, 金融",總經
興櫃處置股票,台灣,籌碼面,公告事件,興櫃股票
高層人事異動月統計,台灣,基本面,股權結構,上市櫃股票
投信基金持有類股比率(整體),台灣,籌碼面,"交易, 持股",投信基金
美股季財報(資產負債),美國,基本面,"財報, 資產負債",上市櫃股票
開放式基金基本資料表,台灣,基本面,基本資料,權證
季個股機構績效評等,台灣,籌碼面,"交易, 機構評等",上市櫃股票
日開放式基金行情表,台灣,籌碼面,"交易, 價量",開放式基金
美股季財報(財務比率),美國,基本面,"財報, 財務比率",上市櫃股票
投信公司規模與市佔率(明細),台灣,基本面,基本資料,投信基金
日債券殖利率與百元價格表(公平價格－公司債及金融債),台灣,籌碼面,交易,債券
重要國際個股(技術指標),國際,技術面,交易,重要個股
興櫃月董監持股與設質明細,台灣,籌碼面,董監,興櫃股票
陸股基金日淨值,中國,籌碼面,交易,基金
ETF分割表,台灣,基本面,基本資料,ETF
陸股基金分紅情況,中國,基本面,股利,基金
本國銀行逾放財務資訊,台灣,基本面,"財報, 銀行, 逾放",金融業股票
日台灣公債指數樣本表,台灣,籌碼面,交易,債券
港股IFRS年財報(總表),香港,基本面,"財報, 總表",上市櫃股票
選擇權個股契約調整,台灣,基本面,基本資料,選擇權
